2026-04-24T10:53:54.659+08:00 [DEBU] {3c650393632ba9185d27ae5192885cbe} [  7 ms] [default] [gfast_v32] [rows:32 ] SHOW TABLES
2026-04-24T10:53:54.662+08:00 [DEBU] {3c650393632ba9185d27ae5192885cbe} [  3 ms] [default] [gfast_v32] [rows:14 ] SHOW FULL COLUMNS FROM `sys_job`
2026-04-24T16:20:05.430+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T16:20:05.431+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T16:20:05.438+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 16:20:05','在线用户定时更新，执行成功') 
2026-04-24T16:30:05.431+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T16:30:05.432+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T16:30:05.439+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 16:30:05','在线用户定时更新，执行成功') 
2026-04-24T16:40:05.431+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T16:40:05.431+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T16:40:05.439+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 16:40:05','在线用户定时更新，执行成功') 
2026-04-24T16:50:05.634+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T16:50:05.635+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T16:50:05.642+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 16:50:05','在线用户定时更新，执行成功') 
2026-04-24T17:00:05.629+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T17:00:05.630+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T17:00:05.634+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  4 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 17:00:05','在线用户定时更新，执行成功') 
2026-04-24T17:10:05.631+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T17:10:05.632+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T17:10:05.639+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 17:10:05','在线用户定时更新，执行成功') 
2026-04-24T17:20:05.630+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T17:20:05.631+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T17:20:05.638+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 17:20:05','在线用户定时更新，执行成功') 
2026-04-24T17:30:05.639+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T17:30:05.640+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T17:30:05.645+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  5 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 17:30:05','在线用户定时更新，执行成功') 
2026-04-24T17:40:05.730+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T17:40:05.731+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T17:40:05.738+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 17:40:05','在线用户定时更新，执行成功') 
2026-04-24T17:50:05.832+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  3 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T17:50:05.833+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T17:50:05.840+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 17:50:05','在线用户定时更新，执行成功') 
2026-04-24T18:00:05.829+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T18:00:05.830+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T18:00:05.834+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  4 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 18:00:05','在线用户定时更新，执行成功') 
2026-04-24T18:10:05.831+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T18:10:05.832+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T18:10:05.840+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  8 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 18:10:05','在线用户定时更新，执行成功') 
2026-04-24T18:20:05.830+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T18:20:05.831+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T18:20:05.835+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  4 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 18:20:05','在线用户定时更新，执行成功') 
2026-04-24T18:30:05.829+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T18:30:05.830+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T18:30:05.837+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 18:30:05','在线用户定时更新，执行成功') 
2026-04-24T18:40:05.830+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T18:40:05.831+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T18:40:05.838+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 18:40:05','在线用户定时更新，执行成功') 
2026-04-24T18:50:05.934+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T18:50:05.935+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T18:50:05.939+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  4 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 18:50:05','在线用户定时更新，执行成功') 
2026-04-24T19:00:05.929+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T19:00:05.930+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T19:00:05.933+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  3 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 19:00:05','在线用户定时更新，执行成功') 
2026-04-24T19:10:05.932+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T19:10:05.933+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T19:10:05.937+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  4 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 19:10:05','在线用户定时更新，执行成功') 
2026-04-24T19:20:05.930+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T19:20:05.930+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T19:20:05.937+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  6 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 19:20:05','在线用户定时更新，执行成功') 
2026-04-24T19:30:05.031+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T19:30:05.032+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T19:30:05.037+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  5 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 19:30:05','在线用户定时更新，执行成功') 
2026-04-24T19:40:05.130+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T19:40:05.130+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T19:40:05.134+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  4 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 19:40:05','在线用户定时更新，执行成功') 
2026-04-24T19:50:05.229+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T19:50:05.230+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T19:50:05.236+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  6 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 19:50:05','在线用户定时更新，执行成功') 
2026-04-24T20:00:05.230+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T20:00:05.231+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T20:00:05.235+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  4 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 20:00:05','在线用户定时更新，执行成功') 
2026-04-24T20:10:05.334+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T20:10:05.334+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T20:10:05.342+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  8 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 20:10:05','在线用户定时更新，执行成功') 
2026-04-24T20:20:05.430+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T20:20:05.430+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T20:20:05.438+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 20:20:05','在线用户定时更新，执行成功') 
2026-04-24T20:30:05.434+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T20:30:05.435+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T20:30:05.439+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  4 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 20:30:05','在线用户定时更新，执行成功') 
2026-04-24T20:40:05.432+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T20:40:05.433+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T20:40:05.440+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 20:40:05','在线用户定时更新，执行成功') 
2026-04-24T20:50:05.429+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T20:50:05.430+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T20:50:05.437+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 20:50:05','在线用户定时更新，执行成功') 
2026-04-24T21:00:05.430+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T21:00:05.430+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T21:00:05.438+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 21:00:05','在线用户定时更新，执行成功') 
2026-04-24T21:10:05.430+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T21:10:05.431+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T21:10:05.437+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  6 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 21:10:05','在线用户定时更新，执行成功') 
2026-04-24T21:20:05.530+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T21:20:05.531+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T21:20:05.538+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  6 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 21:20:05','在线用户定时更新，执行成功') 
2026-04-24T21:30:05.532+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T21:30:05.532+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T21:30:05.536+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  4 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 21:30:05','在线用户定时更新，执行成功') 
2026-04-24T21:40:05.538+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T21:40:05.539+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T21:40:05.543+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  4 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 21:40:05','在线用户定时更新，执行成功') 
2026-04-24T21:50:05.633+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T21:50:05.634+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T21:50:05.641+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 21:50:05','在线用户定时更新，执行成功') 
2026-04-24T22:00:05.629+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T22:00:05.630+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T22:00:05.636+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  6 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 22:00:05','在线用户定时更新，执行成功') 
2026-04-24T22:10:05.630+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
